Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.24876148137405035
75% Corpus,2,0.01,0.31,0.23492656692821373
75% Corpus,2,0.01,0.61,0.23759999684655628
75% Corpus,2,0.01,0.9099999999999999,0.22935712711681866
75% Corpus,2,0.01,symmetric,0.23759999684655628
75% Corpus,2,0.31,0.01,0.24876148137405035
75% Corpus,2,0.31,0.31,0.23492656692821373
75% Corpus,2,0.31,0.61,0.23759999684655628
75% Corpus,2,0.31,0.9099999999999999,0.22935712711681866
75% Corpus,2,0.31,symmetric,0.23759999684655628
75% Corpus,2,0.61,0.01,0.24876148137405035
75% Corpus,2,0.61,0.31,0.23492656692821373
75% Corpus,2,0.61,0.61,0.23759999684655628
75% Corpus,2,0.61,0.9099999999999999,0.22777128564576227
75% Corpus,2,0.61,symmetric,0.23759999684655628
75% Corpus,2,0.9099999999999999,0.01,0.24876148137405035
75% Corpus,2,0.9099999999999999,0.31,0.23492656692821373
75% Corpus,2,0.9099999999999999,0.61,0.2375999968465563
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.22777128564576227
75% Corpus,2,0.9099999999999999,symmetric,0.23759999684655628
75% Corpus,2,symmetric,0.01,0.24876148137405035
75% Corpus,2,symmetric,0.31,0.23492656692821373
75% Corpus,2,symmetric,0.61,0.23759999684655628
75% Corpus,2,symmetric,0.9099999999999999,0.22777128564576227
75% Corpus,2,symmetric,symmetric,0.23759999684655628
75% Corpus,2,asymmetric,0.01,0.24373994262638302
75% Corpus,2,asymmetric,0.31,0.23492656692821373
75% Corpus,2,asymmetric,0.61,0.23759999684655628
75% Corpus,2,asymmetric,0.9099999999999999,0.22777128564576227
75% Corpus,2,asymmetric,symmetric,0.23759999684655628
75% Corpus,3,0.01,0.01,0.2679548424172075
75% Corpus,3,0.01,0.31,0.2801663342373035
75% Corpus,3,0.01,0.61,0.2776282876133697
75% Corpus,3,0.01,0.9099999999999999,0.2714926982851948
75% Corpus,3,0.01,symmetric,0.2801663342373035
75% Corpus,3,0.31,0.01,0.2679548424172075
75% Corpus,3,0.31,0.31,0.2801663342373035
75% Corpus,3,0.31,0.61,0.2776282876133697
75% Corpus,3,0.31,0.9099999999999999,0.27144273225311644
75% Corpus,3,0.31,symmetric,0.2801663342373035
75% Corpus,3,0.61,0.01,0.2679548424172075
75% Corpus,3,0.61,0.31,0.2801663342373035
75% Corpus,3,0.61,0.61,0.2776282876133697
75% Corpus,3,0.61,0.9099999999999999,0.2714427322531165
75% Corpus,3,0.61,symmetric,0.2801663342373035
75% Corpus,3,0.9099999999999999,0.01,0.2679548424172075
75% Corpus,3,0.9099999999999999,0.31,0.2801663342373035
75% Corpus,3,0.9099999999999999,0.61,0.2776282876133697
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.2781741871993989
75% Corpus,3,0.9099999999999999,symmetric,0.2801663342373035
75% Corpus,3,symmetric,0.01,0.2679548424172075
75% Corpus,3,symmetric,0.31,0.2801663342373035
75% Corpus,3,symmetric,0.61,0.2776282876133697
75% Corpus,3,symmetric,0.9099999999999999,0.27144273225311644
75% Corpus,3,symmetric,symmetric,0.2801663342373035
75% Corpus,3,asymmetric,0.01,0.2679548424172075
75% Corpus,3,asymmetric,0.31,0.2801663342373035
75% Corpus,3,asymmetric,0.61,0.2776282876133697
75% Corpus,3,asymmetric,0.9099999999999999,0.2714926982851947
75% Corpus,3,asymmetric,symmetric,0.2801663342373035
75% Corpus,4,0.01,0.01,0.2811901184399441
75% Corpus,4,0.01,0.31,0.27714660117763856
75% Corpus,4,0.01,0.61,0.29807349653535825
75% Corpus,4,0.01,0.9099999999999999,0.2865160365308818
75% Corpus,4,0.01,symmetric,0.2770187363322675
75% Corpus,4,0.31,0.01,0.2811901184399441
75% Corpus,4,0.31,0.31,0.27693662486077497
75% Corpus,4,0.31,0.61,0.29807349653535825
75% Corpus,4,0.31,0.9099999999999999,0.2865160365308818
75% Corpus,4,0.31,symmetric,0.2747772268752353
75% Corpus,4,0.61,0.01,0.2811901184399441
75% Corpus,4,0.61,0.31,0.27693662486077497
75% Corpus,4,0.61,0.61,0.29807349653535825
75% Corpus,4,0.61,0.9099999999999999,0.28705665522596724
75% Corpus,4,0.61,symmetric,0.2747772268752353
